drug1,drug2,cell line,drugname1,drugname2
32065,719627,BT-549,Hydroxyurea,Celecoxib
45923,719627,BT-549,Methoxsalen,Celecoxib
701852,719627,BT-549,Vorinostat,Celecoxib
362856,719627,BT-549,Temozolomide,Celecoxib
122819,719627,BT-549,Teniposide,Celecoxib
66847,719627,BT-549,Thalidomide,Celecoxib
82151,719627,BT-549,Daunorubicin hydrochloride,Celecoxib
123127,719627,BT-549,Doxorubicin hydrochloride,Celecoxib
125973,719627,BT-549,Paclitaxel,Celecoxib
141540,719627,BT-549,Etoposide,Celecoxib
713563,719627,BT-549,Exemestane,Celecoxib
715055,719627,BT-549,Gefitinib,Celecoxib
740,719627,BT-549,Methotrexate,Celecoxib
628503,719627,BT-549,Docetaxel,Celecoxib
681239,719627,BT-549,Bortezomib,Celecoxib
241240,719627,BT-549,Carboplatin,Celecoxib
122758,719627,BT-549,Tretinoin,Celecoxib
3053,719627,BT-549,Dactinomycin,Celecoxib
180973,719627,BT-549,Tamoxifen citrate,Celecoxib
226080,719627,BT-549,Sirolimus,Celecoxib
67574,719627,BT-549,Vincristine sulfate,Celecoxib
71423,719627,BT-549,Megestrol acetate,Celecoxib
3088,719627,BT-549,Chlorambucil,Celecoxib
26271,719627,BT-549,Cyclophosphamide,Celecoxib
14229,719627,BT-549,Quinacrine hydrochloride,Celecoxib
613327,719627,BT-549,Gemcitabine hydrochloride,Celecoxib
719345,719627,BT-549,Letrozole,Celecoxib
102816,719627,BT-549,Azacitidine,Celecoxib
279836,719627,BT-549,Mitoxantrone,Celecoxib
712807,719627,BT-549,Capecitabine,Celecoxib
63878,719627,BT-549,Cytarabine hydrochloride,Celecoxib
409962,719627,BT-549,Carmustine,Celecoxib
718781,719627,BT-549,Erlotinib hydrochloride,Celecoxib
266046,719627,BT-549,Oxaliplatin,Celecoxib
1390,719627,BT-549,Allopurinol,Celecoxib
125066,719627,BT-549,Bleomycin sulfate,Celecoxib
256942,719627,BT-549,4'-Epiadriamycin,Celecoxib
27640,719627,BT-549,Floxuridine,Celecoxib
49842,719627,BT-549,Vinblastine sulfate,Celecoxib
109724,719627,BT-549,Ifosfamide,Celecoxib
719276,719627,BT-549,Fulvestrant,Celecoxib
609699,719627,BT-549,Topotecan hydrochloride,Celecoxib
750,719627,BT-549,Busulfan,Celecoxib
719344,719627,BT-549,Anastrozole,Celecoxib
119875,719627,BT-549,Cisplatin,Celecoxib
85998,719627,BT-549,Streptozocin,Celecoxib
8806,719627,BT-549,Melphalan,Celecoxib
92859,719627,BT-549,Arsenic trioxide,Celecoxib
755,719627,BT-549,Mercaptopurine,Celecoxib
19893,719627,BT-549,Fluorouracil,Celecoxib
105014,719627,BT-549,Cladribine,Celecoxib
26980,719627,BT-549,Mitomycin,Celecoxib
118218,719627,BT-549,Fludarabine,Celecoxib
127716,719627,BT-549,Decitabine,Celecoxib
606869,719627,BT-549,Clofarabine,Celecoxib
256439,719627,BT-549,Idarubicin hydrochloride,Celecoxib
608210,719627,BT-549,Vinorelbine tartrate,Celecoxib
6396,719627,BT-549,Thiotepa,Celecoxib
752,719627,BT-549,Thioguanine,Celecoxib
698037,719627,BT-549,Pemetrexed Disodium,Celecoxib
45388,719627,BT-549,Dacarbazine,Celecoxib
38721,719627,BT-549,Mitotane,Celecoxib
673596,719627,BT-549,7-Ethyl-10-hydroxycamptothecin,Celecoxib
707389,719627,BT-549,Eribulin mesylate,Celecoxib
138783,719627,BT-549,Bendamustine hydrochloride,Celecoxib
740,32065,BT-549,Methotrexate,Hydroxyurea
3053,32065,BT-549,Dactinomycin,Hydroxyurea
3088,32065,BT-549,Chlorambucil,Hydroxyurea
26271,32065,BT-549,Cyclophosphamide,Hydroxyurea
14229,32065,BT-549,Quinacrine hydrochloride,Hydroxyurea
1390,32065,BT-549,Allopurinol,Hydroxyurea
27640,32065,BT-549,Floxuridine,Hydroxyurea
750,32065,BT-549,Busulfan,Hydroxyurea
8806,32065,BT-549,Melphalan,Hydroxyurea
755,32065,BT-549,Mercaptopurine,Hydroxyurea
19893,32065,BT-549,Fluorouracil,Hydroxyurea
26980,32065,BT-549,Mitomycin,Hydroxyurea
6396,32065,BT-549,Thiotepa,Hydroxyurea
752,32065,BT-549,Thioguanine,Hydroxyurea
32065,45923,BT-549,Hydroxyurea,Methoxsalen
740,45923,BT-549,Methotrexate,Methoxsalen
3053,45923,BT-549,Dactinomycin,Methoxsalen
3088,45923,BT-549,Chlorambucil,Methoxsalen
26271,45923,BT-549,Cyclophosphamide,Methoxsalen
14229,45923,BT-549,Quinacrine hydrochloride,Methoxsalen
1390,45923,BT-549,Allopurinol,Methoxsalen
27640,45923,BT-549,Floxuridine,Methoxsalen
750,45923,BT-549,Busulfan,Methoxsalen
8806,45923,BT-549,Melphalan,Methoxsalen
755,45923,BT-549,Mercaptopurine,Methoxsalen
19893,45923,BT-549,Fluorouracil,Methoxsalen
26980,45923,BT-549,Mitomycin,Methoxsalen
6396,45923,BT-549,Thiotepa,Methoxsalen
752,45923,BT-549,Thioguanine,Methoxsalen
45388,45923,BT-549,Dacarbazine,Methoxsalen
38721,45923,BT-549,Mitotane,Methoxsalen
719627,747974,BT-549,Celecoxib,Raloxifene hydrochloride
32065,747974,BT-549,Hydroxyurea,Raloxifene hydrochloride
45923,747974,BT-549,Methoxsalen,Raloxifene hydrochloride
743414,747974,BT-549,Imatinib mesylate,Raloxifene hydrochloride
701852,747974,BT-549,Vorinostat,Raloxifene hydrochloride
362856,747974,BT-549,Temozolomide,Raloxifene hydrochloride
122819,747974,BT-549,Teniposide,Raloxifene hydrochloride
66847,747974,BT-549,Thalidomide,Raloxifene hydrochloride
82151,747974,BT-549,Daunorubicin hydrochloride,Raloxifene hydrochloride
123127,747974,BT-549,Doxorubicin hydrochloride,Raloxifene hydrochloride
125973,747974,BT-549,Paclitaxel,Raloxifene hydrochloride
141540,747974,BT-549,Etoposide,Raloxifene hydrochloride
713563,747974,BT-549,Exemestane,Raloxifene hydrochloride
721517,747974,BT-549,Zoledronic acid,Raloxifene hydrochloride
715055,747974,BT-549,Gefitinib,Raloxifene hydrochloride
740,747974,BT-549,Methotrexate,Raloxifene hydrochloride
628503,747974,BT-549,Docetaxel,Raloxifene hydrochloride
745750,747974,BT-549,Lapatinib ditosylate,Raloxifene hydrochloride
747971,747974,BT-549,Sorafenib tosylate,Raloxifene hydrochloride
747972,747974,BT-549,Lenalidomide,Raloxifene hydrochloride
681239,747974,BT-549,Bortezomib,Raloxifene hydrochloride
241240,747974,BT-549,Carboplatin,Raloxifene hydrochloride
122758,747974,BT-549,Tretinoin,Raloxifene hydrochloride
3053,747974,BT-549,Dactinomycin,Raloxifene hydrochloride
747599,747974,BT-549,Nilotinib,Raloxifene hydrochloride
180973,747974,BT-549,Tamoxifen citrate,Raloxifene hydrochloride
732517,747974,BT-549,Dasatinib,Raloxifene hydrochloride
226080,747974,BT-549,Sirolimus,Raloxifene hydrochloride
67574,747974,BT-549,Vincristine sulfate,Raloxifene hydrochloride
733504,747974,BT-549,Everolimus,Raloxifene hydrochloride
71423,747974,BT-549,Megestrol acetate,Raloxifene hydrochloride
3088,747974,BT-549,Chlorambucil,Raloxifene hydrochloride
26271,747974,BT-549,Cyclophosphamide,Raloxifene hydrochloride
14229,747974,BT-549,Quinacrine hydrochloride,Raloxifene hydrochloride
613327,747974,BT-549,Gemcitabine hydrochloride,Raloxifene hydrochloride
719345,747974,BT-549,Letrozole,Raloxifene hydrochloride
102816,747974,BT-549,Azacitidine,Raloxifene hydrochloride
279836,747974,BT-549,Mitoxantrone,Raloxifene hydrochloride
712807,747974,BT-549,Capecitabine,Raloxifene hydrochloride
63878,747974,BT-549,Cytarabine hydrochloride,Raloxifene hydrochloride
409962,747974,BT-549,Carmustine,Raloxifene hydrochloride
718781,747974,BT-549,Erlotinib hydrochloride,Raloxifene hydrochloride
266046,747974,BT-549,Oxaliplatin,Raloxifene hydrochloride
1390,747974,BT-549,Allopurinol,Raloxifene hydrochloride
125066,747974,BT-549,Bleomycin sulfate,Raloxifene hydrochloride
256942,747974,BT-549,4'-Epiadriamycin,Raloxifene hydrochloride
27640,747974,BT-549,Floxuridine,Raloxifene hydrochloride
49842,747974,BT-549,Vinblastine sulfate,Raloxifene hydrochloride
109724,747974,BT-549,Ifosfamide,Raloxifene hydrochloride
719276,747974,BT-549,Fulvestrant,Raloxifene hydrochloride
609699,747974,BT-549,Topotecan hydrochloride,Raloxifene hydrochloride
750,747974,BT-549,Busulfan,Raloxifene hydrochloride
719344,747974,BT-549,Anastrozole,Raloxifene hydrochloride
119875,747974,BT-549,Cisplatin,Raloxifene hydrochloride
85998,747974,BT-549,Streptozocin,Raloxifene hydrochloride
8806,747974,BT-549,Melphalan,Raloxifene hydrochloride
92859,747974,BT-549,Arsenic trioxide,Raloxifene hydrochloride
755,747974,BT-549,Mercaptopurine,Raloxifene hydrochloride
19893,747974,BT-549,Fluorouracil,Raloxifene hydrochloride
105014,747974,BT-549,Cladribine,Raloxifene hydrochloride
26980,747974,BT-549,Mitomycin,Raloxifene hydrochloride
118218,747974,BT-549,Fludarabine,Raloxifene hydrochloride
127716,747974,BT-549,Decitabine,Raloxifene hydrochloride
606869,747974,BT-549,Clofarabine,Raloxifene hydrochloride
256439,747974,BT-549,Idarubicin hydrochloride,Raloxifene hydrochloride
608210,747974,BT-549,Vinorelbine tartrate,Raloxifene hydrochloride
6396,747974,BT-549,Thiotepa,Raloxifene hydrochloride
752,747974,BT-549,Thioguanine,Raloxifene hydrochloride
747973,747974,BT-549,Ixabepilone,Raloxifene hydrochloride
698037,747974,BT-549,Pemetrexed Disodium,Raloxifene hydrochloride
45388,747974,BT-549,Dacarbazine,Raloxifene hydrochloride
38721,747974,BT-549,Mitotane,Raloxifene hydrochloride
673596,747974,BT-549,7-Ethyl-10-hydroxycamptothecin,Raloxifene hydrochloride
737754,747974,BT-549,Pazopanib hydrochloride,Raloxifene hydrochloride
707389,747974,BT-549,Eribulin mesylate,Raloxifene hydrochloride
138783,747974,BT-549,Bendamustine hydrochloride,Raloxifene hydrochloride
719627,743414,BT-549,Celecoxib,Imatinib mesylate
32065,743414,BT-549,Hydroxyurea,Imatinib mesylate
45923,743414,BT-549,Methoxsalen,Imatinib mesylate
701852,743414,BT-549,Vorinostat,Imatinib mesylate
362856,743414,BT-549,Temozolomide,Imatinib mesylate
122819,743414,BT-549,Teniposide,Imatinib mesylate
66847,743414,BT-549,Thalidomide,Imatinib mesylate
82151,743414,BT-549,Daunorubicin hydrochloride,Imatinib mesylate
123127,743414,BT-549,Doxorubicin hydrochloride,Imatinib mesylate
125973,743414,BT-549,Paclitaxel,Imatinib mesylate
141540,743414,BT-549,Etoposide,Imatinib mesylate
713563,743414,BT-549,Exemestane,Imatinib mesylate
721517,743414,BT-549,Zoledronic acid,Imatinib mesylate
715055,743414,BT-549,Gefitinib,Imatinib mesylate
740,743414,BT-549,Methotrexate,Imatinib mesylate
628503,743414,BT-549,Docetaxel,Imatinib mesylate
681239,743414,BT-549,Bortezomib,Imatinib mesylate
241240,743414,BT-549,Carboplatin,Imatinib mesylate
122758,743414,BT-549,Tretinoin,Imatinib mesylate
3053,743414,BT-549,Dactinomycin,Imatinib mesylate
180973,743414,BT-549,Tamoxifen citrate,Imatinib mesylate
732517,743414,BT-549,Dasatinib,Imatinib mesylate
226080,743414,BT-549,Sirolimus,Imatinib mesylate
67574,743414,BT-549,Vincristine sulfate,Imatinib mesylate
733504,743414,BT-549,Everolimus,Imatinib mesylate
71423,743414,BT-549,Megestrol acetate,Imatinib mesylate
3088,743414,BT-549,Chlorambucil,Imatinib mesylate
26271,743414,BT-549,Cyclophosphamide,Imatinib mesylate
14229,743414,BT-549,Quinacrine hydrochloride,Imatinib mesylate
613327,743414,BT-549,Gemcitabine hydrochloride,Imatinib mesylate
719345,743414,BT-549,Letrozole,Imatinib mesylate
102816,743414,BT-549,Azacitidine,Imatinib mesylate
279836,743414,BT-549,Mitoxantrone,Imatinib mesylate
712807,743414,BT-549,Capecitabine,Imatinib mesylate
63878,743414,BT-549,Cytarabine hydrochloride,Imatinib mesylate
409962,743414,BT-549,Carmustine,Imatinib mesylate
718781,743414,BT-549,Erlotinib hydrochloride,Imatinib mesylate
266046,743414,BT-549,Oxaliplatin,Imatinib mesylate
1390,743414,BT-549,Allopurinol,Imatinib mesylate
125066,743414,BT-549,Bleomycin sulfate,Imatinib mesylate
256942,743414,BT-549,4'-Epiadriamycin,Imatinib mesylate
27640,743414,BT-549,Floxuridine,Imatinib mesylate
49842,743414,BT-549,Vinblastine sulfate,Imatinib mesylate
109724,743414,BT-549,Ifosfamide,Imatinib mesylate
719276,743414,BT-549,Fulvestrant,Imatinib mesylate
609699,743414,BT-549,Topotecan hydrochloride,Imatinib mesylate
750,743414,BT-549,Busulfan,Imatinib mesylate
719344,743414,BT-549,Anastrozole,Imatinib mesylate
119875,743414,BT-549,Cisplatin,Imatinib mesylate
85998,743414,BT-549,Streptozocin,Imatinib mesylate
8806,743414,BT-549,Melphalan,Imatinib mesylate
92859,743414,BT-549,Arsenic trioxide,Imatinib mesylate
755,743414,BT-549,Mercaptopurine,Imatinib mesylate
19893,743414,BT-549,Fluorouracil,Imatinib mesylate
105014,743414,BT-549,Cladribine,Imatinib mesylate
26980,743414,BT-549,Mitomycin,Imatinib mesylate
118218,743414,BT-549,Fludarabine,Imatinib mesylate
127716,743414,BT-549,Decitabine,Imatinib mesylate
606869,743414,BT-549,Clofarabine,Imatinib mesylate
