"","Celecoxib","Hydroxyurea","Methoxsalen","Raloxifene hydrochloride","Imatinib mesylate","Vorinostat","Temozolomide","Teniposide","Thalidomide","Daunorubicin hydrochloride","Doxorubicin hydrochloride","Paclitaxel","Etoposide","Exemestane","Zoledronic acid","Gefitinib","Methotrexate","Abiraterone","Docetaxel","Lapatinib ditosylate","Sorafenib tosylate","Lenalidomide","Bortezomib","Carboplatin","Tretinoin","Dactinomycin","Nilotinib","Tamoxifen citrate","Dasatinib","Vandetanib","Sirolimus","Sunitinib","Romidepsin","Vincristine sulfate","Everolimus","Axitinib","Crizotinib","Vemurafenib","Megestrol acetate","Chlorambucil","Ruxolitinib","Cyclophosphamide","Quinacrine hydrochloride","Gemcitabine hydrochloride","Letrozole","Azacitidine","Mitoxantrone","Capecitabine","Cytarabine hydrochloride","Carmustine","Erlotinib hydrochloride","Oxaliplatin","Allopurinol","Bleomycin sulfate","4'-Epiadriamycin","Floxuridine","Vinblastine sulfate","Ifosfamide","Fulvestrant","Topotecan hydrochloride","Busulfan","Anastrozole","Cisplatin","Streptozocin","Melphalan","Arsenic trioxide","Mercaptopurine","Fluorouracil","Cabazitaxel","Cladribine","Vismodegib","Mitomycin","Fludarabine","Decitabine","Clofarabine","Idarubicin hydrochloride","Vinorelbine tartrate","Thiotepa","Thioguanine","Ixabepilone","Pemetrexed Disodium","Dacarbazine","Mitotane","7-Ethyl-10-hydroxycamptothecin","Pazopanib hydrochloride","Eribulin mesylate","Bendamustine hydrochloride"
"PTGS2",1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALOX5",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CA2",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MAPK14",1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PTGES",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CA9",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CA1",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RRM1",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0
"CYP2A13",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYP2A6",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
