Drug,GENE
Celecoxib,PTGS2
Celecoxib,ALOX5
Celecoxib,CA2
Celecoxib,MAPK14
Celecoxib,PTGES
Celecoxib,CA9
Celecoxib,CA1
Hydroxyurea,RRM1
Methoxsalen,CYP2A13
Methoxsalen,CYP2A6
Raloxifene hydrochloride,PLD1
Raloxifene hydrochloride,UBE2N
Raloxifene hydrochloride,AOX1
Imatinib mesylate,ALK
Imatinib mesylate,ABL1
Imatinib mesylate,AURKC
Imatinib mesylate,DDR1
Imatinib mesylate,DDR2
Imatinib mesylate,PRKCA
Imatinib mesylate,CDK2
Imatinib mesylate,INSR
Imatinib mesylate,MYO3B
Imatinib mesylate,ABL2
Imatinib mesylate,FRK
Imatinib mesylate,PDGFRB
Imatinib mesylate,MAPK8
Imatinib mesylate,EPHA8
Imatinib mesylate,PDGFRA
Imatinib mesylate,KDR
Imatinib mesylate,MAPK14
Imatinib mesylate,SYK
Imatinib mesylate,PRKCD
Imatinib mesylate,ABCG2
Imatinib mesylate,NQO2
Imatinib mesylate,CDK19
Imatinib mesylate,CLK4
Imatinib mesylate,BLK
Imatinib mesylate,BRAF
Imatinib mesylate,EGFR
Imatinib mesylate,LYN
Imatinib mesylate,RAF1
Imatinib mesylate,TNNI3K
Imatinib mesylate,MAP3K20
Imatinib mesylate,GAK
Imatinib mesylate,MAPK10
Imatinib mesylate,PLK4
Imatinib mesylate,STK17A
Imatinib mesylate,CHEK1
Imatinib mesylate,AURKB
Imatinib mesylate,PRKG1
Imatinib mesylate,CHUK
Imatinib mesylate,FLT3
Imatinib mesylate,PIK3CA
Imatinib mesylate,BRSK1
Imatinib mesylate,CDK4
Imatinib mesylate,JAK1
Imatinib mesylate,EIF2AK4
Imatinib mesylate,FLT4
Imatinib mesylate,MET
Imatinib mesylate,RET
Imatinib mesylate,SRPK2
Imatinib mesylate,CAMK2A
Imatinib mesylate,ROCK2
Imatinib mesylate,MINK1
Imatinib mesylate,EPHA6
Imatinib mesylate,PRKCH
Imatinib mesylate,MAPK9
Imatinib mesylate,BMX
Imatinib mesylate,EPHB1
Imatinib mesylate,EPHB2
Imatinib mesylate,EPHB4
Imatinib mesylate,FGFR1
Imatinib mesylate,FGFR2
Imatinib mesylate,JAK2
Imatinib mesylate,TYK2
Imatinib mesylate,TEK
Imatinib mesylate,ZAP70
Imatinib mesylate,RPS6KA5
Imatinib mesylate,CLK1
Imatinib mesylate,CA1
Imatinib mesylate,CA2
Imatinib mesylate,CA3
Imatinib mesylate,CA5B
Imatinib mesylate,CA7
Imatinib mesylate,CA9
Imatinib mesylate,CA12
Imatinib mesylate,CA14
Vorinostat,HDAC6
Vorinostat,HDAC8
Vorinostat,HDAC1
Vorinostat,HDAC2
Vorinostat,HDAC3
Vorinostat,HDAC4
Vorinostat,HDAC5
Vorinostat,HDAC7
Vorinostat,HDAC9
Vorinostat,HDAC10
Vorinostat,HDAC11
Vorinostat,JAK2
Vorinostat,FLT3
Vorinostat,CYP3A4
Vorinostat,KDR
Vorinostat,PIK3R1
Temozolomide,ABL1
Teniposide,NCOA3
Teniposide,NCOA1
Thalidomide,TNF
Daunorubicin hydrochloride,HSP90AA1
Daunorubicin hydrochloride,FPR1
Daunorubicin hydrochloride,NR5A1
Doxorubicin hydrochloride,NR5A1
Doxorubicin hydrochloride,RAD51
Doxorubicin hydrochloride,CISD1
Paclitaxel,MERTK
Etoposide,TOP2A
Exemestane,CYP19A1
Zoledronic acid,FDPS
Zoledronic acid,GGPS1
Gefitinib,EGFR
Gefitinib,PTK6
Gefitinib,ABCG2
Gefitinib,SLK
Gefitinib,STK10
Gefitinib,MKNK2
Gefitinib,EPHB1
Gefitinib,BACE1
Gefitinib,ERBB4
Gefitinib,JAK3
Gefitinib,FRK
Gefitinib,MKNK1
Gefitinib,BLK
Gefitinib,CIT
Gefitinib,LYN
Gefitinib,DAPK3
Gefitinib,EPHA8
Gefitinib,GAK
Gefitinib,HCK
Gefitinib,MAPK10
Gefitinib,MYLK2
Gefitinib,STK17A
Gefitinib,MAPK6
Gefitinib,MAPK4
Gefitinib,PHKG1
Gefitinib,DMPK
Gefitinib,PIK3CA
Gefitinib,INSR
Gefitinib,MINK1
Gefitinib,MAP3K4
Gefitinib,BRAF
Gefitinib,ABL1
Gefitinib,FLT4
Gefitinib,FLT3
Gefitinib,MYLK
Gefitinib,CAMK2A
Gefitinib,PRKD2
Gefitinib,CAMK2B
Gefitinib,TNNI3K
Gefitinib,PRKCH
Gefitinib,CAMKK2
Gefitinib,JAK1
Gefitinib,IRAK3
Gefitinib,LRRK2
Gefitinib,PRKG1
Gefitinib,AAK1
Gefitinib,EIF2AK4
Gefitinib,MET
Gefitinib,PHKG2
Gefitinib,RPS6KA1
Gefitinib,RPS6KA5
Methotrexate,DHFR
Methotrexate,TYMS
Methotrexate,ATIC
Methotrexate,FOLR1
Abiraterone,CYP3A4
Abiraterone,CYP17A1
Abiraterone,CYP21A2
Abiraterone,CYP19A1
Abiraterone,CYP11B1
Docetaxel,KIF11
Lapatinib ditosylate,ERBB4
Lapatinib ditosylate,EGFR
Lapatinib ditosylate,INSR
Lapatinib ditosylate,JAK1
Lapatinib ditosylate,RET
Lapatinib ditosylate,EPHA6
Lapatinib ditosylate,STK17A
Lapatinib ditosylate,CHEK1
Lapatinib ditosylate,MYLK
Lapatinib ditosylate,CAMK2A
Lapatinib ditosylate,IGF1R
Lapatinib ditosylate,FLT3
Lapatinib ditosylate,TYK2
Lapatinib ditosylate,ABL1
Lapatinib ditosylate,BRSK1
Lapatinib ditosylate,CHUK
Lapatinib ditosylate,PRKG1
Lapatinib ditosylate,RPS6KA6
Lapatinib ditosylate,DMPK
Lapatinib ditosylate,CAMKK2
Lapatinib ditosylate,CAMK2B
Lapatinib ditosylate,PIK3CA
Lapatinib ditosylate,PRKCH
Sorafenib tosylate,MAP3K4
Sorafenib tosylate,BRAF
Sorafenib tosylate,KDR
Sorafenib tosylate,CYP19A1
Sorafenib tosylate,FGFR1
Sorafenib tosylate,RAF1
Sorafenib tosylate,PDGFRB
Sorafenib tosylate,RET
Sorafenib tosylate,MAPK14
Sorafenib tosylate,FLT3
Sorafenib tosylate,CDK4
Sorafenib tosylate,DDR2
Sorafenib tosylate,CDK11A
Sorafenib tosylate,PLK4
Sorafenib tosylate,CDK5
Sorafenib tosylate,LIMK1
Sorafenib tosylate,EPHA2
Sorafenib tosylate,EPHA5
Sorafenib tosylate,SLK
Sorafenib tosylate,EPHB4
Sorafenib tosylate,DDR1
Sorafenib tosylate,MAPK3
Sorafenib tosylate,MAPK1
Sorafenib tosylate,AURKA
Sorafenib tosylate,EGFR
Sorafenib tosylate,AURKB
Sorafenib tosylate,AURKC
Sorafenib tosylate,CDK19
Sorafenib tosylate,CDK7
Sorafenib tosylate,CDK8
Sorafenib tosylate,MAPK15
Sorafenib tosylate,FLT1
Sorafenib tosylate,FLT4
Sorafenib tosylate,FRK
Sorafenib tosylate,MERTK
Sorafenib tosylate,MKNK1
Sorafenib tosylate,MKNK2
Sorafenib tosylate,MUSK
Sorafenib tosylate,PDGFRA
Sorafenib tosylate,STK33
Sorafenib tosylate,TIE1
Sorafenib tosylate,TEK
Sorafenib tosylate,ABL1
Sorafenib tosylate,CIT
Sorafenib tosylate,LYN
Sorafenib tosylate,TNNI3K
Sorafenib tosylate,MAP3K20
Sorafenib tosylate,ABL2
Sorafenib tosylate,EPHA4
Sorafenib tosylate,EPHA8
Sorafenib tosylate,EPHB1
Sorafenib tosylate,EPHB2
Sorafenib tosylate,FGFR2
Sorafenib tosylate,MAP4K4
Sorafenib tosylate,NLK
Sorafenib tosylate,CDK17
Sorafenib tosylate,CDK14
Sorafenib tosylate,SRMS
Sorafenib tosylate,STK36
Sorafenib tosylate,TNK1
Sorafenib tosylate,TTK
Sorafenib tosylate,MAPK11
Sorafenib tosylate,MAPK12
Sorafenib tosylate,FGFR3
Sorafenib tosylate,EPHA6
Sorafenib tosylate,DMPK
Sorafenib tosylate,STK35
Sorafenib tosylate,RPS6KA2
Sorafenib tosylate,HUNK
Sorafenib tosylate,STK17A
Sorafenib tosylate,RPS6KA1
Sorafenib tosylate,ULK1
Sorafenib tosylate,ULK2
Sorafenib tosylate,CDC42BPG
Sorafenib tosylate,CAMK2A
Sorafenib tosylate,JAK1
Sorafenib tosylate,CAMK2B
Sorafenib tosylate,MINK1
Sorafenib tosylate,INSR
Sorafenib tosylate,DCLK2
Sorafenib tosylate,SRPK2
Sorafenib tosylate,PRKCH
Sorafenib tosylate,IRAK3
Sorafenib tosylate,PRKG1
Sorafenib tosylate,PIK3CA
Sorafenib tosylate,ROCK2
Sorafenib tosylate,CHUK
Sorafenib tosylate,RPS6KA5
Sorafenib tosylate,CHEK1
Sorafenib tosylate,RPS6KA6
Sorafenib tosylate,DAPK1
Sorafenib tosylate,MYLK
Sorafenib tosylate,MYO3B
Sorafenib tosylate,MYLK2
Sorafenib tosylate,MAPK9
Sorafenib tosylate,EPHA3
Lenalidomide,TNF
Bortezomib,PSMB8
Bortezomib,PSMB5
Bortezomib,CTSG
Bortezomib,ELANE
Carboplatin,IDO1
Tretinoin,S1PR1
Tretinoin,RXRA
Tretinoin,RARB
Tretinoin,RARA
Tretinoin,RARG
Tretinoin,RXRG
Tretinoin,RXRB
Tretinoin,DUSP1
Tretinoin,RORB
Dactinomycin,RAD51
Dactinomycin,DDR2
Nilotinib,DDR1
Nilotinib,DDR2
Nilotinib,CHUK
Nilotinib,INSR
Nilotinib,KCNE1
Nilotinib,ABL1
Nilotinib,NQO2
Nilotinib,MET
Nilotinib,SRPK2
Nilotinib,ROCK2
Nilotinib,EGFR
Nilotinib,MAP3K4
Nilotinib,RET
