Celecoxib,719627
Hydroxyurea,32065
Methoxsalen,45923
Raloxifene hydrochloride,747974
Imatinib mesylate,743414
Vorinostat,701852
Temozolomide,362856
Teniposide,122819
Thalidomide,66847
Daunorubicin hydrochloride,82151
Doxorubicin hydrochloride,123127
Paclitaxel,125973
Etoposide,141540
Exemestane,713563
Zoledronic acid,721517
Gefitinib,715055
Methotrexate,740
Abiraterone,749226
Docetaxel,628503
Lapatinib ditosylate,745750
Sorafenib tosylate,747971
Lenalidomide,747972
Bortezomib,681239
Carboplatin,241240
Tretinoin,122758
Dactinomycin,3053
Nilotinib,747599
Tamoxifen citrate,180973
Dasatinib,732517
Vandetanib,760766
Sirolimus,226080
Sunitinib,750690
Romidepsin,754143
Vincristine sulfate,67574
Everolimus,733504
Axitinib,757441
Crizotinib,756645
Vemurafenib,761431
Megestrol acetate,71423
Chlorambucil,3088
Ruxolitinib,763371
Cyclophosphamide,26271
Quinacrine hydrochloride,14229
Gemcitabine hydrochloride,613327
Letrozole,719345
Azacitidine,102816
Mitoxantrone,279836
Capecitabine,712807
Cytarabine hydrochloride,63878
Carmustine,409962
Erlotinib hydrochloride,718781
Oxaliplatin,266046
Allopurinol,1390
Bleomycin sulfate,125066
4'-Epiadriamycin,256942
Floxuridine,27640
Vinblastine sulfate,49842
Ifosfamide,109724
Fulvestrant,719276
Topotecan hydrochloride,609699
Busulfan,750
Anastrozole,719344
Cisplatin,119875
Streptozocin,85998
Melphalan,8806
Arsenic trioxide,92859
Mercaptopurine,755
Fluorouracil,19893
Cabazitaxel,761432
Cladribine,105014
Vismodegib,755986
Mitomycin,26980
Fludarabine,118218
Decitabine,127716
Clofarabine,606869
Idarubicin hydrochloride,256439
Vinorelbine tartrate,608210
Thiotepa,6396
Thioguanine,752
Ixabepilone,747973
Pemetrexed Disodium,698037
Dacarbazine,45388
Mitotane,38721
7-Ethyl-10-hydroxycamptothecin,673596
Pazopanib hydrochloride,737754
Eribulin mesylate,707389
Bendamustine hydrochloride,138783
