cid,cmpdname,NCI,isosmiles,SIDER
2123,Altretamine,Altretamine,CN(C)C1=NC(=NC(=N1)N(C)C)N(C)C,CID100002123
2141,Amifostine,Amifostine,C(CN)CNCCSP(=O)(O)O,CID100002141
2187,Anastrozole,Anastrozole,CC(C)(C#N)C1=CC(=CC(=C1)CN2C=NC=N2)C(C)(C)C#N,CID100002187
2478,Busulfan,Busulfan,CS(=O)(=O)OCCCCOS(=O)(=O)C,CID100002478
2578,Carmustine,Carmustine,C(CCl)NC(=O)N(CCCl)N=O,CID100002578
2662,Celecoxib,Celecoxib,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F,CID100002662
2708,Chlorambucil,Chlorambucil,C1=CC(=CC=C1CCCC(=O)O)N(CCCl)CCCl,CID100002708
2907,Cyclophosphamide,Cyclophosphamide,C1CNP(=O)(OC1)N(CCCl)CCCl,CID100002907
3385,Fluorouracil,Fluorouracil,C1=C(C(=O)NC(=O)N1)F,CID100003385
3657,Hydroxyurea,Hydroxyurea,C(=O)(N)NO,CID100003657
3690,Ifosfamide,Ifosfamide,C1CN(P(=O)(OC1)NCCCl)CCCl,CID100003690
3902,Letrozole,Letrozole,C1=CC(=CC=C1C#N)C(C2=CC=C(C=C2)C#N)N3C=NC=N3,CID100003902
3950,Lomustine,Lomustine,C1CCC(CC1)NC(=O)N(CCCl)N=O,CID100003950
4114,Methoxsalen,Methoxsalen,COC1=C2C(=CC3=C1OC=C3)C=CC(=O)O2,CID100004114
4211,Mitotane,Mitotane,C1=CC=C(C(=C1)C(C2=CC=C(C=C2)Cl)C(Cl)Cl)Cl,CID100004211
4212,Mitoxantrone,Mitoxantrone,C1=CC(=C2C(=C1NCCNCCO)C(=O)C3=C(C=CC(=C3C2=O)O)O)NCCNCCO,CID100004212
4842,Pipobroman,Pipobroman,C1CN(CCN1C(=O)CCBr)C(=O)CCBr,#N/A
5299,Streptozoticin,Streptozocin,CN(C(=O)NC(C=O)C(C(C(CO)O)O)O)N=O,CID100005300
5311,Vorinostat,Vorinostat,C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO,CID100005311
5394,Temozolomide,Temozolomide,CN1C(=O)N2C=NC(=C2N=N1)C(=O)N,CID100005394
5426,Thalidomide,Thalidomide,C1CC(=O)NC(=O)C1N2C(=O)C3=CC=CC=C3C2=O,CID100005426
5453,Thiotepa,Thiotepa,C1CN1P(=S)(N2CC2)N3CC3,CID100005453
5746,mitomycin C,Mitomycin,CC1=C(C(=O)C2=C(C1=O)N3C[C@H]4[C@@H]([C@@]3([C@@H]2COC(=O)N)OC)N4)N,CID100005746
5790,Floxuridine,Floxuridine,C1[C@@H]([C@H](O[C@H]1N2C=C(C(=O)NC2=O)F)CO)O,CID100003363
5799,Triethylenemelamine,Triethylenemelamine,C1CN1C2=NC(=NC(=N2)N3CC3)N4CC4,#N/A
5935,Mechlorethamine hydrochloride,Mechlorethamine hydrochloride,CN(CCCl)CCCl.Cl,#N/A
6194,Uracil mustard,Uracil mustard,C1=C(C(=O)NC(=O)N1)N(CCCl)CCCl,#N/A
6252,Cytarabine hydrochloride,Cytarabine hydrochloride,C1=CN(C(=O)N=C1N)[C@H]2[C@H]([C@@H]([C@H](O2)CO)O)O.Cl,CID100000596
9444,Azacitidine,Azacitidine,C1=NC(=NC(=O)N1[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)N,CID100001805
9703,Procarbazine hydrochloride,Procarbazine hydrochloride,CC(C)NC(=O)C1=CC=C(C=C1)CNNC.Cl,CID100004915
11683,Megestrol acetate,Megestrol acetate,CC1=C[C@@H]2[C@H](CC[C@]3([C@H]2CC[C@@]3(C(=O)C)OC(=O)C)C)[C@@]4(C1=CC(=O)CC4)C,#N/A
20279,Cladribine,Cladribine,C1[C@@H]([C@H](O[C@H]1N2C=NC3=C(N=C(N=C32)Cl)N)CO)O,CID100001546
36314,Paclitaxel,Paclitaxel,CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](C5=CC=CC=C5)NC(=O)C6=CC=CC=C6)O)O)OC(=O)C7=CC=CC=C7)(CO4)OC(=O)C)O)C)OC(=O)C,CID100004666
36462,Etoposide,Etoposide,C[C@@H]1OC[C@@H]2[C@@H](O1)[C@@H]([C@H]([C@@H](O2)O[C@H]3[C@H]4COC(=O)[C@@H]4[C@@H](C5=CC6=C(C=C35)OCO6)C7=CC(=C(C(=C7)OC)O)OC)O)O,CID100003310
41867,Epirubicin,4'-Epiadriamycin,C[C@H]1[C@@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O,#N/A
