drug1,drug2,cancer,cell line,score,seneitive10,cut4,drug_combination,drug1name,drug2name,depmap_id
740,750,Breast Cancer,BT-549,-14.55555556,0,0,740-750,Methotrexate,Busulfan,ACH-000288
740,750,Breast Cancer,HS 578T,-0.666666667,0,0,740-750,Methotrexate,Busulfan,ACH-000148
740,750,Breast Cancer,MCF7,-3.888888889,0,0,740-750,Methotrexate,Busulfan,ACH-000019
740,750,Breast Cancer,MDA-MB-231,1.777777778,0,0,740-750,Methotrexate,Busulfan,ACH-000768
740,750,Breast Cancer,MDA-MB-468,-0.444444444,0,0,740-750,Methotrexate,Busulfan,ACH-000849
740,750,Breast Cancer,T-47D,-8.111111111,0,0,740-750,Methotrexate,Busulfan,ACH-000147
740,750,CNS Cancer,SF-268,-4.555555556,0,0,740-750,Methotrexate,Busulfan,ACH-000655
740,750,CNS Cancer,U251,1.111111111,0,0,740-750,Methotrexate,Busulfan,ACH-000232
740,750,Colon Cancer,HCT 116,-5.555555556,0,0,740-750,Methotrexate,Busulfan,ACH-000971
740,750,Colon Cancer,HCT-15,-10.33333333,0,0,740-750,Methotrexate,Busulfan,ACH-000997
740,750,Colon Cancer,KM12,-5.555555556,0,0,740-750,Methotrexate,Busulfan,ACH-000969
740,750,Colon Cancer,SW-620,-6.222222222,0,0,740-750,Methotrexate,Busulfan,ACH-000651
740,750,Leukemia,HL-60(TB),4.555555556,0,1,740-750,Methotrexate,Busulfan,ACH-000002
740,750,Leukemia,K-562,1.444444444,0,0,740-750,Methotrexate,Busulfan,ACH-000551
740,750,Leukemia,RPMI-8226,-2.444444444,0,0,740-750,Methotrexate,Busulfan,ACH-000817
740,750,Melanoma,LOX IMVI,-2.222222222,0,0,740-750,Methotrexate,Busulfan,ACH-000750
740,750,Melanoma,SK-MEL-28,-6.555555556,0,0,740-750,Methotrexate,Busulfan,ACH-000615
740,750,Melanoma,SK-MEL-5,-2.666666667,0,0,740-750,Methotrexate,Busulfan,ACH-000730
740,750,Melanoma,UACC-257,-1.444444444,0,0,740-750,Methotrexate,Busulfan,ACH-000579
740,750,Melanoma,UACC-62,3.555555556,0,0,740-750,Methotrexate,Busulfan,ACH-000425
740,750,Non-Small Cell Lung Cancer,A549,-5.888888889,0,0,740-750,Methotrexate,Busulfan,ACH-000681
740,750,Non-Small Cell Lung Cancer,HOP-62,0.222222222,0,0,740-750,Methotrexate,Busulfan,ACH-000861
740,750,Non-Small Cell Lung Cancer,NCI-H23,-3,0,0,740-750,Methotrexate,Busulfan,ACH-000900
740,750,Non-Small Cell Lung Cancer,NCI-H460,-9.333333333,0,0,740-750,Methotrexate,Busulfan,ACH-000463
740,750,Non-Small Cell Lung Cancer,NCI-H522,-5.555555556,0,0,740-750,Methotrexate,Busulfan,ACH-000343
740,750,Ovarian Cancer,IGROV1,-2.333333333,0,0,740-750,Methotrexate,Busulfan,ACH-000966
740,750,Ovarian Cancer,OVCAR-3,-4,0,0,740-750,Methotrexate,Busulfan,ACH-000001
740,750,Ovarian Cancer,OVCAR-4,-1.555555556,0,0,740-750,Methotrexate,Busulfan,ACH-000617
740,750,Ovarian Cancer,SK-OV-3,-3,0,0,740-750,Methotrexate,Busulfan,ACH-000811
740,750,Prostate Cancer,PC-3,-3.111111111,0,0,740-750,Methotrexate,Busulfan,ACH-000090
740,750,Renal Cancer,786-0,1.222222222,0,0,740-750,Methotrexate,Busulfan,ACH-000649
740,750,Renal Cancer,A-498,-5.777777778,0,0,740-750,Methotrexate,Busulfan,ACH-000555
740,750,Renal Cancer,ACHN,-3.444444444,0,0,740-750,Methotrexate,Busulfan,ACH-000046
740,750,Renal Cancer,CAKI-1,-33.55555556,0,0,740-750,Methotrexate,Busulfan,ACH-000433
740,752,Breast Cancer,BT-549,-3.666666667,0,0,740-752,Methotrexate,Thioguanine,ACH-000288
